date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:03:05	15603/15603	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202020%2003:09:04%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/cropped-Logo-1-180x180.png	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/cropped-Logo-1-180x180.png	(from https://afcofficial.store/)
12:03:06	19468/19468	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202020%2003:07:56%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Logo.png	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Logo.png	(from https://afcofficial.store/)
12:03:07	87510/87510	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Oct%202021%2015:26:34%20GMT	https://afcofficial.store/wp-content/uploads/2021/10/banner-afcofficial-1.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2021/10/banner-afcofficial-1.jpg	(from https://afcofficial.store/)
12:03:09	107064/107064	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Oct%202021%2015:26:33%20GMT	https://afcofficial.store/wp-content/uploads/2021/10/banner-afcofficial-2.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2021/10/banner-afcofficial-2.jpg	(from https://afcofficial.store/)
12:03:09	51786/51786	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2007:45:46%20GMT	https://afcofficial.store/sensei-suru/	/home/abrar/websites/wordpress%20clone/afcofficial.store/sensei-suru/index.html	(from https://afcofficial.store/)
12:03:09	145096/145096	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2007:43:47%20GMT	https://afcofficial.store/sop-subarashi/	/home/abrar/websites/wordpress%20clone/afcofficial.store/sop-subarashi/index.html	(from https://afcofficial.store/)
12:03:09	126979/126979	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2007:45:59%20GMT	https://afcofficial.store/utsukushhii/	/home/abrar/websites/wordpress%20clone/afcofficial.store/utsukushhii/index.html	(from https://afcofficial.store/)
12:03:10	91866/91866	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Oct%202021%2015:26:32%20GMT	https://afcofficial.store/wp-content/uploads/2021/10/banner-afcofficial-3.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2021/10/banner-afcofficial-3.jpg	(from https://afcofficial.store/)
12:03:11	68963/68963	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2008:54:20%20GMT	https://afcofficial.store/join-our-business/	/home/abrar/websites/wordpress%20clone/afcofficial.store/join-our-business/index.html	(from https://afcofficial.store/)
12:03:11	107180/107180	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Oct%202021%2015:26:31%20GMT	https://afcofficial.store/wp-content/uploads/2021/10/banner-afcofficial-4.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2021/10/banner-afcofficial-4.jpg	(from https://afcofficial.store/)
12:03:12	45949/45949	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2008:07:28%20GMT	https://afcofficial.store/contact-us/	/home/abrar/websites/wordpress%20clone/afcofficial.store/contact-us/index.html	(from https://afcofficial.store/)
12:03:13	299207/299207	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Dec%202020%2003:32:09%20GMT	https://afcofficial.store/wp-content/uploads/2020/12/Banner-1.png	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/12/Banner-1.png	(from https://afcofficial.store/)
12:03:14	216823/216823	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Dec%202020%2003:32:11%20GMT	https://afcofficial.store/wp-content/uploads/2020/12/Banner-2.png	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/12/Banner-2.png	(from https://afcofficial.store/)
12:03:15	317960/317960	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Dec%202020%2003:32:13%20GMT	https://afcofficial.store/wp-content/uploads/2020/12/Banner-3.png	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/12/Banner-3.png	(from https://afcofficial.store/)
12:03:16	232835/232835	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Dec%202020%2003:32:18%20GMT	https://afcofficial.store/wp-content/uploads/2020/12/Banner-4.png	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/12/Banner-4.png	(from https://afcofficial.store/)
12:03:16	108480/108480	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Sep%202021%2015:40:01%20GMT	https://afcofficial.store/wp-content/uploads/2021/09/IMG-20210911-WA0027.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2021/09/IMG-20210911-WA0027.jpg	(from https://afcofficial.store/)
